OBJECT_NAME,ORIGINAL_NAME,TYPE,CAN_UNDROP,CAN_PURGE
BIN$33J7k6A5EOrgUwKgxArylg==$0,PK_DEPARTMENTS,INDEX,NO,YES
BIN$33J7k6A7EOrgUwKgxArylg==$0,DEPARTMENTS,TABLE,YES,YES
BIN$33J7k6A/EOrgUwKgxArylg==$0,EMPLOYEE_ENAME_IDX,INDEX,NO,YES
BIN$33J7k6BAEOrgUwKgxArylg==$0,EMPLOYEE_DEPT_NO_FK_IDX,INDEX,NO,YES
BIN$33J7k6BBEOrgUwKgxArylg==$0,PK_EMPLOYEES,INDEX,NO,YES
BIN$33J7k6BDEOrgUwKgxArylg==$0,EMPLOYEES,TABLE,YES,YES
BIN$33J7k6A6EOrgUwKgxArylg==$0,DEPARTMENTS_BIU,TRIGGER,NO,NO
BIN$33J7k6BCEOrgUwKgxArylg==$0,EMPLOYEES_BIU,TRIGGER,NO,NO
